chargedeviceid,name,latitude,longitude,town,chargedevicestatus,locationtype,datecreated,dateupdated,connectorcount
7b854e1c9778aa8ff839837766cf71d3,ASDA,57.805901,-4.04825,TAIN,IN SERVICE,OTHER,2020-05-04T08:33:48Z,2020-05-04T08:33:48Z,2
92914b863caab3084c5cf0cb02e72b11,ASDA,55.913921,-4.216193,GLASGOW,IN SERVICE,OTHER,2020-05-04T08:34:24Z,2020-05-04T08:34:24Z,2
47c08ed70e9fcc801e6c907b02690c4c,ASDA,55.614983,-2.802469,GALASHIELS,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:34:32Z,2020-05-04T08:34:32Z,2
645c1e3446f288b5ebad0c5093d12250,ASDA,56.642799,-2.88867,FORFAR,IN SERVICE,OTHER,2020-05-04T08:34:47Z,2020-05-04T08:34:47Z,2
5150d1bb2d5a2b2b23b96786673ff854,ASDA,55.913857,-4.216296,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:05Z,2020-05-04T08:35:05Z,2
421f51ad0b692460d1055a774c1b4e82,ASDA,55.886021,-3.69035,BATHGATE,IN SERVICE,OTHER,2020-05-04T08:35:06Z,2020-05-04T08:35:06Z,2
b8bcc73cc36a6017e7574ba10a1f1cb8,ASDA,55.786812,-3.99018,MOTHERWELL,IN SERVICE,OTHER,2020-05-04T08:35:12Z,2020-05-04T08:35:12Z,2
c70689651cb8ec48def7fc31ce1e813d,ASDA,56.405994,-3.444124,PERTH,IN SERVICE,PARK & RIDE SITE,2020-05-04T08:35:12Z,2020-05-04T08:35:12Z,2
2124d983f5e0b86fb5a9e9fd765d63f1,ASDA,55.786888,-3.990322,MOTHERWELL,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:14Z,2020-05-04T08:35:14Z,2
c6692c0ad9b24fa7a850967c7046b9a6,ASDA,55.615101,-2.8021,GALASHIELS,IN SERVICE,OTHER,2020-05-04T08:35:20Z,2020-05-04T08:35:20Z,2
3695d4080f70c7cb92a819fb44524314,ASDA,56.406055,-3.444006,PERTH,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:20Z,2020-05-04T08:35:20Z,2
4604432d380ebbc6246700f110c28d00,WESTERN TOYOTA 2 LONEHEAD DRIVE,55.941441,-3.408043,EDINBURGH,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:20Z,2020-05-04T08:35:20Z,2
8638ecfa25ce39663663e90138cd7963,ARNOLD CLARK TOYOTA,55.8465,-4.479745,PAISLEY,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:35Z,2020-05-04T08:35:35Z,2
c8fc43da1806cbb006bc1919a157d138,ASDA,56.6422,-2.88874,FORFAR,IN SERVICE,PUBLIC CAR PARK,2020-05-04T08:35:35Z,2020-05-04T08:35:35Z,2
965c95a3e10f1253fd9c26ebf560f371,ASDA,56.549801,-2.61234,ARBROATH,IN SERVICE,EDUCATIONAL ESTABLISHMENT,2020-05-04T08:35:55Z,2020-05-04T08:35:55Z,2
14072b2ff783182847122db384e8863f,ASDA,56.47506,-3.047849,DUNDEE,IN SERVICE,OTHER,2020-05-04T08:36:23Z,2020-05-04T08:36:23Z,2
07bed16fc4f5a2539b6eefecf39ba6a1,ASDA,56.475132,-3.04787,DUNDEE,IN SERVICE,NHS PROPERTY,2020-05-04T08:36:23Z,2020-05-04T08:36:23Z,2
5385bd4228a99b3647537793bf5f584b,ASDA,55.800907,-4.391816,GLASGOW,IN SERVICE,NHS PROPERTY,2020-05-04T08:36:41Z,2020-05-04T08:36:41Z,2
80f7ed32a1d3ccc208b1d2c77d0ea9f4,KILMARNOCK COLLEGE,55.614155,-4.500185,KILMARNOCK,IN SERVICE,DEALERSHIP FORECOURT,2020-05-04T10:17:21Z,2020-05-04T10:17:21Z,2
70a6d0ab10eecafa8b4f616717172fef,WANSBECK WORKSPACE,55.185078,-1.582446,ASHINGTON,IN SERVICE,OTHER,2020-05-04T10:17:38Z,2020-05-04T10:17:38Z,2
adb8d21f0a23d9242b32ab41f363697f,WANSBECK WORKSPACE,55.185173,-1.582706,ASHINGTON,IN SERVICE,OTHER,2020-05-04T10:17:40Z,2020-05-04T10:17:40Z,2
0cd1d8f534d35e1443c8c73effc861d8,WANSBECK WORKSPACE,55.185181,-1.582702,ASHINGTON,IN SERVICE,ON-STREET,2020-05-04T10:17:40Z,2020-05-04T10:17:40Z,2
71397575e4010aaf8364783564e432d7,PIER HEAD CAR PARK,55.002178,-1.4194,SOUTH SHIELDS,IN SERVICE,HOTEL / ACCOMMODATION,2020-05-04T10:18:13Z,2020-05-04T10:18:13Z,2
1dbc14c2bef0ada4bddacc86f3d9205e,MILLHALL ROAD,56.10556,-3.9206,STERLING,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:18:29Z,2020-05-04T10:18:29Z,2
334b672dc35af9775cd4f8c16245fec8,KIRKNEWTON RAILWAY STATION,55.88887,-3.43361,KIRKNEWTON,IN SERVICE,OTHER,2020-05-04T10:18:45Z,2020-05-04T10:18:45Z,2
1b7b38f8732abc170e9625784aeecab3,SUBSEA 7 PROSPECT ROAD,57.145531,-2.28556,WESTHILL,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:19:05Z,2020-05-04T10:19:05Z,2
aaa503157d7236cead937939f4511eca,GLASGOW AIRPORT,55.863941,-4.43436,GLASGOW,IN SERVICE,HOTEL / ACCOMMODATION,2020-05-04T10:19:05Z,2020-05-04T10:19:05Z,2
617afc7c38159e7b80ef032f40065615,GLASGOW AIRPORT,55.86404,-4.43436,GLASGOW,IN SERVICE,OTHER,2020-05-04T10:19:05Z,2020-05-04T10:19:05Z,2
44e0f1663f2b1cc73471912180db790c,GLASGOW AIRPORT,55.86414,-4.43436,GLASGOW,IN SERVICE,OTHER,2020-05-04T10:19:05Z,2020-05-04T10:19:05Z,2
ef2fdb39ef029d26be9116f8a4527e5e,BRITISH TELECOMMUNICATIONS PLC,55.019711,-1.510478,NEWCASTLE UPON TYNE,IN SERVICE,LEISURE CENTRE,2020-05-04T10:20:15Z,2020-05-04T10:20:15Z,2
474e38e2114da7ca2d4d04dac567c8fe,BRITISH TELECOMMUNICATIONS PLC NT2,55.019428,-1.51067,NEWCASTLE UPON TYNE,IN SERVICE,RETAIL CAR PARK,2020-05-04T10:50:58Z,2020-05-04T10:50:58Z,2
69c765b770d7e1ef2d85da5214b4a689,CROWNE PLAZA GLASGOW,55.860336,-4.29109,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:50:59Z,2020-05-04T10:50:59Z,2
ae67846b5a915d8df87486142e442168,ROTHBURY COMMUNITY HOSPITAL,55.30666,-1.91356,MORPETH,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:51:08Z,2020-05-04T10:51:08Z,2
7711921390516190b06cddc26e640ceb,NEILSTON LEISURE CENTRE,55.785969,-4.423797,NEILSTON,IN SERVICE,ON-STREET,2020-05-04T10:51:11Z,2020-05-04T10:51:11Z,2
c115a5a4508d46802084db6fa3665fb3,BRIO RETIREMENT MARKETING SUITE,57.03368,-2.17981,STONEHAVEN,IN SERVICE,ON-STREET,2020-05-04T10:51:44Z,2020-05-04T10:51:44Z,2
d0755e7d510816a1ee43d2d978f6bfae,SANDYFORD SMITHY,55.49828,-4.564788,AYRSHIRE,IN SERVICE,WORKPLACE CAR PARK,2020-05-04T10:51:53Z,2020-05-04T10:51:53Z,2
2431b618046250eefa3bb8375038385f,ALEXANDER BAIN HOUSE,55.857307,-4.263363,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:51:53Z,2020-05-04T10:51:53Z,2
c51a3d825838871c68a5eb1d451190dc,QUEENS VIEW TORRANCE,55.93718,-4.214732,GLASGOW,IN SERVICE,OTHER,2020-05-04T10:52:33Z,2020-05-04T10:52:33Z,2
a54c200b17dd88879dda3791765f0ff8,GRETNA HALL HOTEL,55.004147,-3.06597,GRETNA,IN SERVICE,PARK & RIDE SITE,2020-05-04T10:52:41Z,2020-05-04T10:52:41Z,2
459a7729a31e972dddb6de614c0f004c,GRETNA HALL HOTEL,55.004147,-3.06597,GRETNA,IN SERVICE,PARK & RIDE SITE,2020-05-04T10:52:41Z,2020-05-04T10:52:41Z,2
3d3bc4aff7727a5f6e170832fda6c47d,SMITHS AT GRETNA GREEN HOTEL,55.00518,-3.065088,GRETNA,IN SERVICE,ON-STREET,2020-05-04T10:52:41Z,2020-05-04T10:52:41Z,2
a742cd4b395fcbb465454f98a440a08f,PENTONBRIDGE INN,55.080063,-2.88154,PENTON,IN SERVICE,PARK & RIDE SITE,2020-05-04T10:52:42Z,2020-05-04T10:52:42Z,2
89c8d2400e09f970ac2ab0677b7d2b33,PROSPECT ROAD,57.145359,2.28621,ABERDEEN,IN SERVICE,RETAIL CAR PARK,2020-05-04T10:52:55Z,2020-05-04T10:52:55Z,2
3af175ecd7b2990531a545bd9a44e431,PROSPECT ROAD,57.145359,2.28621,ABERDEEN,IN SERVICE,PUBLIC CAR PARK,2020-05-04T10:52:55Z,2020-05-04T10:52:55Z,2
5d8fddcbbee1143b186fa89e2c04d83e,PROSPECT ROAD,57.145359,2.28621,ABERDEEN,IN SERVICE,OTHER,2020-05-04T10:52:55Z,2020-05-04T10:52:55Z,2
c041bb6856f6f76a32aa9882a31b2041,PROSPECT ROAD,57.145359,2.28621,ABERDEEN,IN SERVICE,OTHER,2020-05-04T10:52:55Z,2020-05-04T10:52:55Z,2
d4e63095869781fabc00b9501ba37cb4,SUBSEA 7,57.129276,-2.079503,ABERDEEN,IN SERVICE,OTHER,2020-05-04T10:52:55Z,2020-05-04T10:52:55Z,2
77d8b041c3eb7a9860a23f1a72c95f3b,NORTON HOUSE HOTEL & SPA,55.932598,-3.3848,NEWBRIDGE,IN SERVICE,PUBLIC CAR PARK,2020-05-13T16:01:29Z,2020-05-13T16:01:29Z,2
442cc9336276bcc68f23752362b8f14d,CARFRAEMILL,55.7719,-2.7848,LAUDER,IN SERVICE,OTHER,2020-05-13T16:01:41Z,2020-05-13T16:01:41Z,2
84d21d361fe72dbdbacab9ed99a74b1a,SANDYFORD SMITHY,55.498299,-4.5649,AYRSHIRE,IN SERVICE,RETAIL CAR PARK,2020-05-13T16:01:41Z,2020-05-13T16:01:41Z,2
1c9fdc7c13be39627cc503f4334869d7,STEPHENS BAKERY,56.136765,-3.925249,STIRLING,IN SERVICE,PUBLIC CAR PARK,2020-05-13T16:01:41Z,2020-05-13T16:01:41Z,2
b6f1a008f4630c05bd9ea573f34ff380,SMITHS AT GRETNA GREEN HOTEL,55.005173,-3.065013,GRETNA,IN SERVICE,PUBLIC CAR PARK,2020-05-13T16:01:59Z,2020-05-13T16:01:59Z,2
013c362a9dc3d7d359bdd7cebdf6acaa,DOUBLETREE BY HILTON HOTEL DUNBLANE HYDRO,56.190796,-3.953145,DUNBLANE,IN SERVICE,PUBLIC CAR PARK,2020-05-13T16:02:00Z,2020-05-13T16:02:00Z,2
4eaf2561e9842a2d94a02829fb286f6f,STEPHENS BAKERY,56.063633,-3.498063,DUNFERMLINE,IN SERVICE,EDUCATIONAL ESTABLISHMENT,2020-05-13T16:02:14Z,2020-05-13T16:02:14Z,2
1671fa4df3c37e2fee326cf8b93c29c3,STEPHENS BAKERY - KIRKCALDY,56.134201,-3.1319,KIRCKLADY,IN SERVICE,RETAIL CAR PARK,2020-05-13T16:02:14Z,2020-05-13T16:02:14Z,2
19388c9ff528bfad4e1528a79e97daa8,STEPHENS BAKERY - PRIMROSE LANE,56.043404,-3.435541,ROSYTH,IN SERVICE,HOTEL / ACCOMMODATION,2020-05-13T16:02:17Z,2020-05-13T16:02:17Z,2
10bcdb665462e3cd4d10adc7bfbf02db,STEPHENS BAKERY - PRIMROSE LANE,56.043419,-3.435477,ROSYTH,IN SERVICE,HOTEL / ACCOMMODATION,2020-05-13T16:02:17Z,2020-05-13T16:02:17Z,2
85d55406ac93180c9b5dd7154332a548,THE RED DEER,55.942955,-4.01828,GLASGOW,IN SERVICE,OTHER,2020-05-13T16:02:26Z,2020-05-13T16:02:26Z,2
cb94db9e42344daec4cc325e5a5522aa,CROWNE PLAZA GLASGOW,55.86031,-4.291145,GLASGOW,IN SERVICE,RETAIL CAR PARK,2020-05-13T16:02:33Z,2020-05-13T16:02:33Z,2
01f7bcbbe3c7bfcab8456603495841fb,LEVEL 1,55.81863,-4.342979,GLASGOW,IN SERVICE,DEALERSHIP FORECOURT,2020-05-14T08:05:49Z,2020-05-14T08:05:49Z,2
ba3060046f4437524ac67ce7d2becde7,LEVEL 1,55.818829,-4.342999,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2020-05-14T08:05:50Z,2020-05-14T08:05:50Z,2
